"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","~","Buzzer_Beeper:Buzzer_15x7.5RM7.6","1",""
"C1,C4","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"C2,C3","100uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"DS1","WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf","Display:WC1602A","1",""
"J1","Battery","~","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal","1",""
"J2","Program","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J3","RFID connector","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"R2,RV1","10k","~","-- mixed values --","2",""
"SW1","SW_SPST","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"SW2","SW_Push","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"SW3","SW_MEC_5E","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","Button_Switch_THT:SW_MEC_5GTH9","1",""
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3","ESP-12F","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf","RF_Module:ESP-12E","1",""
